procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0    512 372040  31448 431972    0    0     0     0 3078 1110 10 17 73  0  0
 1  0    512 372040  31448 431972    0    0     0     0 3061 1107 10 17 73  0  0
 1  0    512 372040  31456 431964    0    0     0    12 3104 1131 11 16 73  0  0
 1  0    512 372040  31456 431964    0    0     0     0 2829  716  9 16 74  0  0
 1  0    512 372040  31456 431964    0    0     0     0 2666  422 11 15 74  0  0
 1  0    512 372040  31456 431964    0    0     0     0 2903  794  8 20 73  0  0
 1  0    512 372040  31456 431964    0    0     0     0 2805  677  9 17 74  0  0
 1  0    512 372040  31464 431980    0    0     0    16 2790  619 12 14 74  0  0
 1  0    512 372040  31464 431980    0    0     0     0 3036 1032 11 17 72  0  0
 1  0    512 372040  31464 431980    0    0     0     0 2869  763 11 15 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0    512 372040  31464 431980    0    0     0     0 2938  816  9 18 73  0  0
 1  0    512 372040  31464 431980    0    0     0     0 2813  651  7 19 74  0  0
 1  0    512 372040  31472 431972    0    0     0    12 2721  472  9 17 74  0  0
 1  0    512 372040  31472 431972    0    0     0     0 2960  913 10 17 74  0  0
 1  0    512 372040  31472 431972    0    0     0     0 2974  907 12 16 72  0  0
 1  0    512 372040  31472 431972    0    0     0     0 2764  582  9 18 73  0  0
 1  0    512 372040  31472 431972    0    0     0     0 2744  543 11 15 74  0  0
 1  0    512 372040  31480 431980    0    0     0    20 2856  726  9 18 73  0  0
 1  0    512 372040  31480 431984    0    0     0     0 2744  529 11 15 74  0  0
 3  0    512 372244  31488 431984    0    0     0    44 2841  686 10 19 71  0  0
 1  0    512 372084  31488 431984    0    0     0     0 3321 1415 15 25 60  0  0
 1  0    512 372164  31488 431984    0    0     0     0 3011 1016 11 16 74  0  0
 1  0    512 372164  31488 431984    0    0     0     0 3020 1014 11 17 72  0  0
 2  0    512 372164  31488 431984    0    0     0     0 2890  755 11 16 73  0  0
 1  0    512 372164  31488 431984    0    0     0     0 2935  842  9 18 73  0  0
 1  0    512 372164  31496 431984    0    0     0    44 2828  647 13 14 73  0  0
 1  0    512 372164  31496 431984    0    0     0     0 2800  610  7 19 74  0  0
 1  0    512 372164  31496 431984    0    0     0     0 2618  325  8 18 74  0  0
 1  0    512 372164  31496 431984    0    0     0     0 2696  432  9 17 74  0  0
 1  0    512 372164  31496 431984    0    0     0     0 2631  335 10 17 74  0  0
 1  0    512 372164  31496 431984    0    0     0     0 2856  764  9 17 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0    512 372164  31504 431976    0    0     0    12 3000  995 10 17 73  0  0
 1  0    512 372164  31504 431976    0    0     0     0 2732  549  9 17 74  0  0
 1  0    512 372164  31504 431976    0    0     0     0 2747  536  8 18 74  0  0
 1  0    512 372164  31504 431976    0    0     0     0 2843  734 10 17 73  0  0
 2  0    512 372164  31504 431976    0    0     0     0 2854  733 10 16 74  0  0
 1  0    512 372164  31512 431968    0    0     0    12 2971  926  9 18 72  0  0
 1  0    512 372164  31512 431968    0    0     0     0 2591  301 12 14 74  0  0
 1  0    512 372164  31512 431968    0    0     0     0 2722  524 12 14 74  0  0
 1  0    512 372156  31512 431984    0    0     0     0 3120 1118 10 16 74  0  0
 1  0    512 372156  31512 431984    0    0     0     0 2685  430  9 17 74  0  0
 1  0    512 372156  31520 431984    0    0     0    12 2649  364  9 17 74  0  0
 1  0    512 372156  31520 431984    0    0     0     8 2792  574  7 19 74  0  0
 1  0    512 372156  31520 431984    0    0     0     0 2748  729  9 18 73  0  0
