procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 391664  34648 403608    0    0     6     4  734  221  6  9 85  0  0
 3  0      0 391144  34656 403612    0    0     0    80 2766  421 27 49 23  0  0
 3  0      0 391144  34656 403612    0    0     0     4 2810  437 27 49 25  0  0
 3  0      0 391144  34656 403612    0    0     0     0 2709  362 26 49 25  0  0
 3  0      0 391144  34656 403612    0    0     0     0 2672  291 31 45 24  0  0
 3  0      0 391144  34656 403612    0    0     0     0 2742  358 29 46 24  0  0
 3  0      0 391144  34656 403612    0    0     0     0 2837  481 28 48 25  0  0
 3  0      0 391144  34664 403612    0    0     0    20 2898  536 27 48 24  0  0
 3  0      0 391144  34664 403612    0    0     0     0 2907  527 30 45 25  0  0
 3  0      0 391144  34664 403612    0    0     0     0 2753  389 28 47 25  0  0
 3  0      0 391144  34664 403612    0    0     0     0 2794  396 26 50 25  0  0
 3  0      0 391144  34664 403612    0    0     0     0 2809  432 29 46 25  0  0
 3  0      0 391144  34664 403612    0    0     0     0 2778  395 27 48 25  0  0
 3  0      0 391144  34672 403604    0    0     0    12 2706  318 28 47 24  0  0
 3  0      0 391144  34672 403604    0    0     0     0 2725  327 29 47 25  0  0
 3  0      0 391144  34672 403604    0    0     0     0 2857  498 27 49 24  0  0
 3  0      0 391144  34672 403604    0    0     0     0 2965  622 30 45 25  0  0
 3  0      0 391144  34672 403604    0    0     0     0 2926  589 26 49 25  0  0
 3  0      0 391144  34672 403604    0    0     0     0 2847  500 32 43 25  0  0
 3  0      0 391144  34680 403596    0    0     0    12 2814  459 30 46 24  0  0
 4  0      0 391144  34680 403596    0    0     0     0 2673  259 34 42 24  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 391144  34680 403596    0    0     0     0 2712  335 32 43 25  0  0
 3  0      0 391144  34680 403612    0    0     0    12 2753  362 31 45 25  0  0
 3  0      0 391144  34680 403612    0    0     0     0 2876  500 28 47 24  0  0
 3  0      0 391144  34680 403612    0    0     0     0 2858  485 25 51 25  0  0
 3  0      0 391144  34688 403608    0    0     0    28 2900  542 27 49 24  0  0
 3  0      0 391144  34688 403608    0    0     0     0 2776  402 26 49 24  0  0
 3  0      0 391144  34688 403608    0    0     0     0 2859  488 25 51 24  0  0
 3  0      0 391144  34688 403608    0    0     0     0 2894  523 25 50 25  0  0
 3  0      0 391144  34688 403608    0    0     0     0 2881  499 24 52 24  0  0
 3  0      0 391144  34688 403608    0    0     0     0 2868  487 29 47 24  0  0
 3  0      0 391144  34696 403600    0    0     0    12 2820  502 29 47 24  0  0
 3  0      0 391160  34696 403600    0    0     0    84 2730  366 29 47 24  0  0
 3  0      0 391160  34696 403612    0    0     0     0 2767  440 25 51 25  0  0
 3  0      0 391160  34696 403612    0    0     0     0 2767  390 25 51 24  0  0
 3  0      0 391160  34696 403612    0    0     0     0 2847  469 28 48 25  0  0
 3  0      0 391160  34696 403612    0    0     0     0 2909  533 30 46 24  0  0
 3  0      0 391160  34704 403608    0    0     0    20 2997  655 25 51 24  0  0
 3  0      0 391160  34704 403608    0    0     0     0 3219  846 29 47 24  0  0
 3  0      0 391160  34704 403608    0    0     0     0 2922  552 28 48 24  0  0
 3  0      0 391160  34704 403608    0    0     0     0 2932  557 27 49 24  0  0
 3  0      0 391160  34704 403608    0    0     0     0 3149  801 28 48 24  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 391160  34704 403608    0    0     0     0 2952  612 26 50 24  0  0
 3  0      0 391160  34712 403600    0    0     0    12 2763  410 26 50 24  0  0
 3  0      0 391160  34712 403600    0    0     0     0 2717  361 27 49 24  0  0
 3  0      0 391160  34712 403616    0    0     0     0 2855  524 29 47 24  0  0
 3  0      0 391160  34712 403616    0    0     0     0 2979  609 27 49 24  0  0
 3  0      0 391160  34712 403616    0    0     0     0 2733  357 26 50 24  0  0
 3  0      0 391160  34712 403616    0    0     0     0 2982  628 25 51 24  0  0
 3  0      0 391160  34720 403608    0    0     0    12 2870  607 25 51 24  0  0
 3  0      0 391160  34720 403608    0    0     0     0 2670  321 25 51 24  0  0
 4  0      0 391160  34720 403608    0    0     0     0 2681  306 29 47 24  0  0
 3  0      0 391036  34720 403608    0    0     0     0 3491 1097 27 49 24  0  0
 3  0      0 391036  34720 403608    0    0     0     0 3451 1172 25 51 24  0  0
 3  0      0 391036  34720 403608    0    0     0     0 2778  373 27 49 24  0  0
 3  0      0 391036  34728 403612    0    0     0    12 2667  320 25 51 25  0  0
 3  0      0 391176  34728 403616    0    0     0     8 5701 4349 31 51 18  0  0
 3  0      0 391176  34728 403616    0    0     0     0 2729  375 30 45 24  0  0
 3  0      0 391300  34728 403616    0    0     0     0 3154  852 25 51 24  0  0
 4  0      0 391300  34728 403616    0    0     0     0 2861  497 23 53 24  0  0
