procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 404084  31068 403168    0    0    36    23  849  364 16 27 57  0  0
 2  0      0 404084  31068 403172    0    0     0     0 2810  494 19 32 49  0  0
 2  0      0 404084  31076 403164    0    0     0    32 2986  750 23 28 49  0  0
 2  0      0 404084  31076 403172    0    0     0     0 3372 1091 20 32 48  0  0
 2  0      0 404084  31076 403172    0    0     0     0 3160  902 22 30 48  0  0
 2  0      0 404084  31076 403172    0    0     0     0 3107  817 16 36 49  0  0
 2  0      0 404084  31076 403172    0    0     0     0 3063  796 19 33 48  0  0
 2  0      0 404084  31076 403172    0    0     0     0 2907  613 21 31 48  0  0
 2  0      0 404084  31084 403172    0    0     0    12 3027  771 16 35 49  0  0
 2  0      0 404084  31084 403172    0    0     0     0 3217  920 19 33 48  0  0
 2  0      0 404084  31084 403172    0    0     0     0 3332 1066 22 29 49  0  0
 3  0      0 404084  31084 403172    0    0     0     0 3278 1003 17 34 49  0  0
 2  0      0 404084  31084 403172    0    0     0     0 3378 1115 22 30 48  0  0
 2  0      0 404084  31084 403172    0    0     0     0 3277  970 16 36 48  0  0
 2  0      0 404084  31092 403164    0    0     0    12 3356 1120 18 34 48  0  0
 2  0      0 404084  31092 403164    0    0     0     0 3171  899 18 33 49  0  0
 2  0      0 404084  31092 403164    0    0     0     0 2953  696 20 33 48  0  0
 2  0      0 404084  31092 403164    0    0     0    76 3608 1329 22 29 49  0  0
 2  0      0 404084  31092 403164    0    0     0     0 3396 1097 20 31 49  0  0
 2  0      0 404084  31092 403164    0    0     0     0 2737  401 19 31 49  0  0
 2  0      0 404084  31100 403172    0    0     0    12 2684  382 15 35 49  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 404068  31100 403172    0    0     0     0 3574 1398 22 30 48  0  0
 2  0      0 404068  31100 403172    0    0     0     0 3388 1134 20 31 48  0  0
 2  0      0 404068  31100 403172    0    0     0     0 3310 1054 21 31 49  0  0
 2  0      0 404068  31100 403172    0    0     0     0 3182  930 18 33 49  0  0
 2  0      0 404068  31100 403172    0    0     0     0 3195  893 21 30 49  0  0
 2  0      0 404068  31108 403168    0    0     0    16 3417 1190 21 30 48  0  0
 2  0      0 404068  31108 403168    0    0     0     0 3302 1062 18 33 49  0  0
 2  0      0 404068  31108 403168    0    0     0     0 3053  768 19 32 49  0  0
 2  0      0 404068  31108 403168    0    0     0     0 3364 1114 20 31 49  0  0
 2  0      0 404068  31108 403168    0    0     0     0 3367 1117 21 30 49  0  0
 2  0      0 404068  31108 403168    0    0     0     0 3331 1062 17 35 48  0  0
 2  0      0 404068  31116 403160    0    0     0    24 3385 1148 19 33 48  0  0
 2  0      0 404068  31116 403172    0    0     0     0 3376 1120 21 31 48  0  0
 2  0      0 404068  31116 403172    0    0     0     0 3301 1046 18 34 49  0  0
 2  0      0 404060  31116 403172    0    0     0     0 3274 1012 18 33 49  0  0
 2  0      0 404060  31116 403172    0    0     0     0 3312 1032 17 35 48  0  0
 2  0      0 404060  31116 403172    0    0     0     0 3406 1126 19 33 48  0  0
 2  0      0 404028  31124 403172    0    0     0    20 3462 1187 20 32 48  0  0
 2  0      0 404060  31124 403172    0    0     0     0 3496 1225 20 32 48  0  0
 2  0      0 404028  31124 403172    0    0     0     0 3406 1091 23 30 48  0  0
 2  0      0 404092  31124 403172    0    0     0     0 3656 1370 18 33 49  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 404060  31124 403172    0    0     0     0 3369 1082 21 31 48  0  0
 2  0      0 404060  31124 403172    0    0     0     0 3686 1319 18 33 48  0  0
 3  0      0 404060  31132 403172    0    0     0    12 3404 1178 21 31 48  0  0
 2  0      0 404060  31132 403176    0    0     0     0 3480 1238 18 34 48  0  0
 3  0      0 404060  31132 403176    0    0     0     0 3260 1003 21 30 49  0  0
 2  0      0 404060  31132 403176    0    0     0     0 3292 1008 19 33 48  0  0
 2  0      0 404060  31132 403176    0    0     0     0 3387 1123 20 32 49  0  0
 2  0      0 404060  31132 403176    0    0     0     0 3019  726 21 30 49  0  0
 2  0      0 404060  31140 403168    0    0     0    12 3170  900 16 35 49  0  0
 2  0      0 404060  31140 403168    0    0     0     0 3158  851 22 30 48  0  0
 2  0      0 404060  31140 403168    0    0     0    16 3439 1207 21 31 48  0  0
 2  0      0 404060  31140 403176    0    0     0     0 3542 1245 22 30 48  0  0
 2  0      0 404060  31140 403176    0    0     0     0 3438 1128 21 31 48  0  0
 2  0      0 404060  31148 403176    0    0     0    12 3270  977 19 33 49  0  0
 2  0      0 404060  31148 403176    0    0     0     0 3387 1113 17 34 49  0  0
 2  0      0 404060  31148 403176    0    0     0     0 3513 1182 20 33 48  0  0
 3  0      0 404060  31148 403176    0    0     0     0 3668 1356 17 35 48  0  0
 2  0      0 404060  31148 403176    0    0     0     0 3495 1217 20 33 48  0  0
