procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 401208  32040 403276    0    0    25    16  829  329 15 25 60  0  0
 2  0      0 401088  32040 403280    0    0     0     0 3537 1256 23 32 46  0  0
 2  0      0 401024  32040 403280    0    0     0     0 2943  699 20 31 49  0  0
 2  0      0 400992  32040 403280    0    0     0     0 3211  916 19 33 48  0  0
 2  0      0 401024  32040 403280    0    0     0     0 3137  906 19 32 49  0  0
 2  0      0 401024  32040 403280    0    0     0     0 2879  578 17 35 49  0  0
 2  0      0 401024  32048 403280    0    0     0    36 3110  845 20 33 48  0  0
 2  0      0 401024  32048 403280    0    0     0     0 2966  670 20 32 48  0  0
 2  0      0 401088  32048 403280    0    0     0     0 3145  856 18 34 48  0  0
 2  0      0 401024  32048 403280    0    0     0     0 2988  712 21 30 49  0  0
 2  0      0 400992  32048 403280    0    0     0     0 3125  813 20 32 48  0  0
 2  0      0 401024  32056 403280    0    0     0    12 3166  921 19 32 49  0  0
 2  0      0 401024  32056 403280    0    0     0    72 3413 1145 19 32 48  0  0
 3  0      0 401040  32056 403280    0    0     0     0 3488 1197 21 31 47  0  0
 2  0      0 401040  32056 403280    0    0     0     0 2950  711 17 34 49  0  0
 2  0      0 401072  32056 403280    0    0     0     0 3378 1066 19 34 47  0  0
 2  0      0 401136  32056 403280    0    0     0     0 3489 1248 18 34 48  0  0
 2  0      0 401072  32064 403280    0    0     0    12 3561 1336 18 34 47  0  0
 2  0      0 401072  32064 403280    0    0     0     0 3778 1468 18 33 49  0  0
 2  0      0 401040  32064 403280    0    0     0     0 3103  801 17 34 49  0  0
 2  0      0 401040  32064 403280    0    0     0     0 2614  286 20 30 49  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 401040  32064 403280    0    0     0     0 3072  890 20 33 48  0  0
 2  0      0 401040  32064 403280    0    0     0     4 2905  612 17 34 49  0  0
 2  0      0 401040  32072 403280    0    0     0    16 2878  583 19 32 49  0  0
 2  0      0 401040  32072 403280    0    0     0     0 3084  799 21 30 49  0  0
 3  0      0 401040  32072 403280    0    0     0     0 3385 1074 20 33 47  0  0
 2  0      0 401040  32072 403280    0    0     0     0 3377 1162 21 32 48  0  0
 2  0      0 401040  32072 403280    0    0     0    16 2901  625 16 35 49  0  0
 2  0      0 401040  32080 403280    0    0     0    20 3205  898 19 33 48  0  0
 2  0      0 400976  32080 403280    0    0     0     0 3092  849 18 33 48  0  0
 2  0      0 401040  32080 403280    0    0     0     0 3240  941 19 33 48  0  0
 2  0      0 401072  32080 403280    0    0     0     0 3205  928 17 34 49  0  0
 2  0      0 401040  32080 403280    0    0     0     0 3431 1178 18 35 48  0  0
 3  0      0 401040  32088 403272    0    0     0    24 3526 1289 19 33 47  0  0
 2  0      0 401040  32088 403280    0    0     0     0 3390 1144 18 35 48  0  0
 2  0      0 401072  32088 403280    0    0     0     0 3567 1305 18 33 48  0  0
 2  0      0 401040  32088 403280    0    0     0     0 3475 1198 20 31 48  0  0
 2  0      0 401040  32088 403280    0    0     0     0 3618 1316 22 33 45  0  0
 2  0      0 401040  32096 403280    0    0     0    20 3252  989 18 34 48  0  0
 2  0      0 401040  32096 403280    0    0     0     0 3549 1307 20 32 48  0  0
 2  0      0 401040  32096 403280    0    0     0     0 3501 1221 18 35 48  0  0
 2  0      0 401040  32096 403280    0    0     0     0 3315 1080 16 35 49  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 401040  32096 403280    0    0     0     0 3279  971 21 32 48  0  0
 2  0      0 401040  32096 403280    0    0     0     0 2869  600 20 31 49  0  0
 2  0      0 401040  32104 403280    0    0     0    12 2964  643 17 33 49  0  0
 2  0      0 401040  32104 403284    0    0     0     0 3160  890 15 36 49  0  0
 2  0      0 401040  32104 403284    0    0     0     0 3392 1086 20 32 48  0  0
 2  0      0 401040  32104 403284    0    0     0     0 3387 1145 19 33 48  0  0
 2  0      0 401040  32104 403284    0    0     0     0 3214  924 18 35 47  0  0
 2  0      0 401040  32104 403284    0    0     0     0 3346 1062 20 32 48  0  0
 2  0      0 401040  32112 403276    0    0     0    12 3250  995 20 31 48  0  0
 2  0      0 401040  32112 403284    0    0     0     0 3281  996 19 34 48  0  0
 2  0      0 401040  32112 403284    0    0     0     0 3323 1073 19 32 48  0  0
 2  0      0 401040  32112 403284    0    0     0     0 3446 1186 16 36 48  0  0
 2  0      0 401040  32112 403284    0    0     0     0 3004  739 19 33 48  0  0
 2  0      0 401040  32112 403284    0    0     0     0 2798  480 17 34 49  0  0
 3  0      0 401040  32120 403276    0    0     0    12 3221  936 19 33 48  0  0
 2  0      0 401040  32120 403276    0    0     0     0 3124  810 21 31 48  0  0
 2  0      0 401040  32120 403276    0    0     0     0 2971  722 20 31 49  0  0
 2  0      0 401040  32120 403276    0    0     0     0 3143  838 19 34 47  0  0
