procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 391416  34852 403836    0    0     6     4  734  220  6  9 84  0  0
 3  0      0 390896  34860 403832    0    0     0    80 2992  601 26 50 24  0  0
 3  0      0 391012  34860 403840    0    0     0     0 2782  411 30 46 24  0  0
 6  0      0 391020  34860 403840    0    0     0     0 3088  843 28 49 24  0  0
 3  0      0 391272  34860 403824    0    0     0    16 6592 5690 33 51 16  0  0
 3  0      0 391280  34860 403828    0    0     0     0 2801  456 30 46 25  0  0
 3  0      0 391280  34860 403828    0    0     0     0 2771  388 30 46 25  0  0
 3  0      0 391280  34868 403820    0    0     0    56 2718  329 31 45 25  0  0
 3  0      0 391280  34868 403820    0    0     0     0 2692  298 29 47 25  0  0
 3  0      0 391380  34868 403820    0    0     0     0 3018  667 31 45 25  0  0
 3  0      0 391404  34868 403828    0    0     0     0 2753  366 28 48 25  0  0
 3  0      0 391128  34868 403828    0    0     0    12 2889  844 35 43 22  0  0
 3  0      0 391216  34868 403836    0    0     0     0 2811  492 26 50 24  0  0
 4  0      0 390216  34876 403836    0    0     0    52 2895  651 30 47 23  0  0
 3  0      0 390984  34876 403848    0    0     0     8 2760  595 30 48 22  0  0
 3  0      0 390828  34876 403848    0    0     0     0 2790  448 29 47 24  0  0
 3  0      0 390860  34876 403848    0    0     0     0 2733  339 31 45 24  0  0
 3  0      0 390860  34876 403848    0    0     0     0 2922  510 31 44 24  0  0
 3  0      0 390748  34876 403848    0    0     0     0 2933  591 29 48 24  0  0
 3  0      0 390860  34884 403844    0    0     0    52 2688  282 29 47 24  0  0
 3  0      0 390860  34884 403844    0    0     0     0 2787  391 27 49 24  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 390860  34884 403848    0    0     0   116 2946  584 34 42 24  0  0
 3  0      0 390860  34884 403848    0    0     0     0 2829  432 32 44 24  0  0
 3  0      0 390860  34884 403848    0    0     0     0 2800  408 25 51 24  0  0
 3  0      0 390860  34884 403848    0    0     0     0 2783  380 32 44 24  0  0
 3  0      0 390860  34892 403844    0    0     0    44 3837 1423 29 47 24  0  0
 3  0      0 390860  34892 403844    0    0     0     0 2927  504 30 45 25  0  0
 3  0      0 390860  34892 403844    0    0     0     0 2663  241 30 46 25  0  0
 3  0      0 390860  34892 403844    0    0     0     0 2952  705 32 44 24  0  0
 3  0      0 390860  34892 403844    0    0     0     0 2726  337 25 50 25  0  0
 3  0      0 390860  34892 403844    0    0     0     0 2858  450 27 48 25  0  0
 3  0      0 390860  34900 403848    0    0     0    16 2805  419 28 47 25  0  0
 3  0      0 391164  34900 403848    0    0     0     0 2722  365 27 49 24  0  0
 3  0      0 391108  34900 403848    0    0     0     0 2736  353 27 49 25  0  0
 3  0      0 391108  34900 403848    0    0     0     0 2708  300 30 46 25  0  0
 3  0      0 391108  34900 403848    0    0     0     0 2742  337 29 47 24  0  0
 3  0      0 391108  34900 403848    0    0     0     0 2835  429 26 49 24  0  0
 3  0      0 391108  34908 403840    0    0     0    12 2764  359 30 46 25  0  0
 3  0      0 391108  34908 403840    0    0     0     0 2724  316 28 48 25  0  0
 3  0      0 391108  34908 403840    0    0     0     0 2763  371 29 46 25  0  0
 3  0      0 391108  34908 403840    0    0     0     0 2771  388 24 51 25  0  0
 3  0      0 391108  34908 403840    0    0     0     0 2592  183 27 48 25  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 391108  34908 403840    0    0     0     0 2649  241 27 48 25  0  0
 3  0      0 391108  34916 403832    0    0     0    12 2703  308 30 46 25  0  0
 3  0      0 391108  34916 403832    0    0     0     0 2732  345 28 47 25  0  0
 3  0      0 391108  34916 403844    0    0     0     0 2673  272 28 47 25  0  0
 3  0      0 391108  34916 403844    0    0     0     0 2810  421 27 48 25  0  0
 3  0      0 391108  34916 403844    0    0     0     0 2652  258 27 48 25  0  0
 3  0      0 391108  34916 403844    0    0     0     0 2890  494 30 46 25  0  0
 3  0      0 391108  34924 403836    0    0     0    12 2820  429 30 46 25  0  0
 3  0      0 391108  34924 403836    0    0     0     0 2751  350 26 50 25  0  0
 3  0      0 391108  34924 403836    0    0     0     0 2726  328 28 47 25  0  0
 3  0      0 391108  34924 403836    0    0     0     8 2777  386 27 48 25  0  0
 3  0      0 391108  34924 403840    0    0     0     0 2742  358 29 46 25  0  0
 3  0      0 391108  34924 403840    0    0     0     0 2686  299 29 47 25  0  0
 3  0      0 391108  34932 403832    0    0     0    20 2730  342 32 44 25  0  0
 3  0      0 391108  34932 403840    0    0     0     0 2716  311 34 41 25  0  0
 3  0      0 391108  34932 403840    0    0     0    36 2668  269 28 47 25  0  0
 3  0      0 391108  34932 403852    0    0     0     0 2678  259 31 44 25  0  0
 3  0      0 391108  34932 403852    0    0     0     0 2781  379 28 47 25  0  0
